Id;Imei;Incio_Viaje;Hora_Incio_Viaje;Fin_Viaje;Tiempo_Pausas_hh;Direccion_Inicio;Direeccion_Fin;Latitud_Inicio;Longitud_Inicio;Latitud_Fin;Longitud_Fin;Kilometro_Total_Recorrido;Fin_Odometer;Inicio_Odometro;Puntaje_de_Conduccion;Frenado_Brusco;Acelerado_Brusco;Exceso_Velocidad;Exceso_Segmento;Marca;Modelo;Placa;Chasis;Alias;Grupo;Cliente;daily_ignition_on_move;Tiempo_Recorrido_hh;Tiempo_Detenido_hh;daily_ignition_on_stop;Unidad_Medida_Consumo Combustible;Consumo_Medio_Combustible;Codigo_Viaje;Empresa
400170;400170;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;2,45;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;237,18;112029,41;111792,23;99,24;0;0;0;NULL;CHEVROLET;NPR;WOW824;9GDNPR759HB006075;MEALS CARNICO MONTERIA;Alimentos Carnicos;MEALS CARNICO MONTERIA;1899-12-30 00:00:00.000;3,84;2,45;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400172;400172;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,87;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;75,59;122705,14;122629,55;96,55;0;1;0;NULL;CHEVROLET;NPR;WOW825;9GDNPR750HB006093;MEALS CARNICO MONTERIA;Alimentos Carnicos;MEALS CARNICO MONTERIA;1899-12-30 00:00:00.000;1,16;0,87;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400129;400129;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;1,25;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;53,27;32403,3;32350,03;97,47;0;0;0;NULL;CHEVROLET;NHR;WOW827;9GDNLR777HB010087;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);Avis;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);1899-12-30 00:00:00.000;0,75;1,25;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400124;400124;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;1,59;CO,Atlantico,Soledad,Calle 41B 1G - Rel: Cl 41 B-1 F1 a 586m de:Metrocentro,en (Barranquilla),en ruta(BAL017);CO,Atlantico,Soledad,Calle 41B 1G - Rel: Cl 41 B-1 F1 a 586m de:Metrocentro,en (Barranquilla),en ruta(BAL017);10,933591;-74,794762;10,933591;-74,794762;87,1;32439,5;32352,4;98,33;0;0;0;NULL;CHEVROLET;NHR;WOW829;9GDNLR771HB010067;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);Avis;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);1899-12-30 00:00:00.000;1,35;1,59;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400107;400107;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,77;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;16,22;29738,28;29722,06;97,78;0;0;0;NULL;CHEVROLET;NHR;WOW831;9GDNLR771HB011011;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);Avis;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);1899-12-30 00:00:00.000;0,2;0,77;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400110;400110;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;3,01;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;52,01;44664,72;44612,71;99,5;0;0;0;NULL;CHEVROLET;NHR;WOW833;9GDNLR778HB011099;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);Avis;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);1899-12-30 00:00:00.000;0,96;3,01;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400126;400126;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,1;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;25,28;34330,98;34305,69;98,72;0;0;0;NULL;CHEVROLET;NHR;WOW835;9GDNLR775HB011108;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);Avis;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);1899-12-30 00:00:00.000;0,3;0,1;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400131;400131;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,1;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;192,84;40643,23;40450,38;99,47;0;0;0;NULL;CHEVROLET;NHR;WOW836;9GDNLR776HB010016;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);Avis;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);1899-12-30 00:00:00.000;3,38;0,1;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400123;400123;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;1,97;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;51,47;31272,95;31221,48;95,92;0;0;0;NULL;CHEVROLET;NHR;WOW837;9GDNLR770HB011100;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);Avis;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);1899-12-30 00:00:00.000;0,59;1,97;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400130;400130;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,53;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;36,56;38867,61;38831,06;97,6;0;0;0;NULL;CHEVROLET;NHR;WOW839;9GDNLR775HB010086;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);Avis;NEGOCIO CÁRNICO BARRANQUILLA(AVIS-RENTING);1899-12-30 00:00:00.000;0,34;0,53;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
